Name,url
Nemanja Matić,/player/191202/nemanja-mati%C4%87/
Kevin Strootman,/player/189712/kevin-strootman/
Pedro,/player/189505/pedro/
Bruno,/player/184120/bruno/
Ángel Di María,/player/183898/%C3%A1ngel-di-mar%C3%ADa/
Ivan Perišić,/player/181458/ivan-peri%C5%A1i%C4%87/
Edin Džeko,/player/180930/edin-d%C5%BEeko/
Sami Khedira,/player/179846/sami-khedira/
Ralf Fährmann,/player/179783/ralf-f%C3%A4hrmann/
Sergio Asenjo,/player/178750/sergio-asenjo/
Juan Mata,/player/178088/juan-mata/
Medhi Benatia,/player/177509/medhi-benatia/
Falcao,/player/167397/falcao/
Laurent Koscielny,/player/165229/laurent-koscielny/
Dani Alves,/player/146530/dani-alves/
Alejandro Gómez,/player/143076/alejandro-g%C3%B3mez/
Aduriz,/player/106231/aduriz/
Kylian Mbappé,/player/231747/kylian-mbapp%C3%A9/
Ousmane Dembélé,/player/231443/ousmane-demb%C3%A9l%C3%A9/
Naby Keïta,/player/220971/naby-ke%C3%AFta/
Nabil Fekir,/player/216594/nabil-fekir/
José María Giménez,/player/216460/jos%C3%A9-mar%C3%ADa-gim%C3%A9nez/
Gerónimo Rulli,/player/215316/ger%C3%B3nimo-rulli/
Thomas Lemar,/player/213565/thomas-lemar/
João Mário,/player/212814/jo%C3%A3o-m%C3%A1rio/
Niklas Süle,/player/212190/niklas-s%C3%BCle/
Ederson,/player/210257/ederson/
Leon Goretzka,/player/209658/leon-goretzka/
Fabinho,/player/209499/fabinho/
Mohamed Salah,/player/209331/mohamed-salah/
Andrea Belotti,/player/208596/andrea-belotti/
Emil Forsberg,/player/208448/emil-forsberg/
William Carvalho,/player/207566/william-carvalho/
Samuel Umtiti,/player/205600/samuel-umtiti/
Riyad Mahrez,/player/204485/riyad-mahrez/
Virgil van Dijk,/player/203376/virgil-van-dijk/
Roberto Firmino,/player/201942/roberto-firmino/
Danilo Pereira,/player/200888/danilo-pereira/
Vitolo,/player/199715/vitolo/
Anthony Lopes,/player/199482/anthony-lopes/
Stefan de Vrij,/player/198176/stefan-de-vrij/
Mattia Perin,/player/198009/mattia-perin/
Joel Matip,/player/197061/joel-matip/
Idrissa Gueye,/player/193474/idrissa-gueye/
Iago Aspas,/player/192629/iago-aspas/
Ciro Immobile,/player/192387/ciro-immobile/
Nicolás Otamendi,/player/192366/nicol%C3%A1s-otamendi/
Ander Herrera,/player/191740/ander-herrera/
Javier Pastore,/player/191180/javier-pastore/
Parejo,/player/189513/parejo/
Shinji Kagawa,/player/189358/shinji-kagawa/
Giacomo Bonaventura,/player/189125/giacomo-bonaventura/
Roman Bürki,/player/189117/roman-b%C3%BCrki/
Bas Dost,/player/189068/bas-dost/
Kyle Walker,/player/188377/kyle-walker/
Oscar,/player/188152/oscar/
Steven N'Zonzi,/player/187936/steven-nzonzi/
Mateo Musacchio,/player/186547/mateo-musacchio/
Ömer Toprak,/player/185239/%C3%B6mer-toprak/
José Callejón,/player/185020/jos%C3%A9-callej%C3%B3n/
Adrien Silva,/player/184826/adrien-silva/
Gylfi Sigurðsson,/player/184484/gylfi-sigur%C3%B0sson/
Sebastian Giovinco,/player/184431/sebastian-giovinco/
Nicolás Gaitán,/player/184144/nicol%C3%A1s-gait%C3%A1n/
Mario Mandžukić,/player/181783/mario-mand%C5%BEuki%C4%87/
Adam Lallana,/player/180819/adam-lallana/
Willian,/player/180403/willian/
Benedikt Höwedes,/player/179784/benedikt-h%C3%B6wedes/
Éver Banega,/player/178562/%C3%A9ver-banega/
Rui Patrício,/player/178005/rui-patr%C3%ADcio/
Yann Sommer,/player/177683/yann-sommer/
Dimitri Payet,/player/177388/dimitri-payet/
Morgan Schneiderlin,/player/177358/morgan-schneiderlin/
Jonas,/player/176769/jonas/
Łukasz Piszczek,/player/173771/%C5%82ukasz-piszczek/
Ezequiel Garay,/player/170481/ezequiel-garay/
Antonio Valencia,/player/167905/antonio-valencia/
Gary Cahill,/player/164468/gary-cahill/
Kasper Schmeichel,/player/163587/kasper-schmeichel/
Moussa Dembélé,/player/162240/moussa-demb%C3%A9l%C3%A9/
Borja Valero,/player/161956/borja-valero/
Loïc Perrin,/player/159147/lo%C3%AFc-perrin/
Lucas Biglia,/player/158963/lucas-biglia/
Diego López,/player/146748/diego-l%C3%B3pez/
Santi Cazorla,/player/146562/santi-cazorla/
Javier Mascherano,/player/142754/javier-mascherano/
Wesley Sneijder,/player/139869/wesley-sneijder/
Nani,/player/139068/nani/
Daniele De Rossi,/player/53302/daniele-de-rossi/
Pepe Reina,/player/24630/pepe-reina/
Quaresma,/player/20775/quaresma/
Yaya Touré,/player/20289/yaya-tour%C3%A9/
Casillas,/player/5479/casillas/
Gianluigi Donnarumma,/player/230621/gianluigi-donnarumma/
Leroy Sané,/player/222492/leroy-san%C3%A9/
Tiémoué Bakayoko,/player/219809/ti%C3%A9mou%C3%A9-bakayoko/
Corentin Tolisso,/player/219683/corentin-tolisso/
Jean Michaël Seri,/player/216451/jean-micha%C3%ABl-seri/
Keita Baldé Diao,/player/215785/keita-bald%C3%A9-diao/
Jonathan Tah,/player/213331/jonathan-tah/
Joshua Kimmich,/player/212622/joshua-kimmich/
Federico Bernardeschi,/player/212404/federico-bernardeschi/
Timo Werner,/player/212188/timo-werner/
André Gomes,/player/211575/andr%C3%A9-gomes/
Anthony Martial,/player/211300/anthony-martial/
Quincy Promes,/player/208808/quincy-promes/
Lucas Vázquez,/player/208618/lucas-v%C3%A1zquez/
Saúl,/player/208421/sa%C3%BAl/
Felipe,/player/207863/felipe/
Carlos Bacca,/player/207664/carlos-bacca/
Franco Vázquez,/player/207471/franco-v%C3%A1zquez/
Mateo Kovačić,/player/207410/mateo-kova%C4%8Di%C4%87/
Sergio Rico,/player/206652/sergio-rico/
Manu Trigueros,/player/206545/manu-trigueros/
Antonio Rüdiger,/player/205452/antonio-r%C3%BCdiger/
Florian Thauvin,/player/204970/florian-thauvin/
Stefan Savić,/player/204639/stefan-savi%C4%87/
Iñigo Martínez,/player/204525/i%C3%B1igo-mart%C3%ADnez/
Roque Mesa,/player/204277/roque-mesa/
Alessandro Florenzi,/player/203551/alessandro-florenzi/
Karim Bellarabi,/player/202857/karim-bellarabi/
Raheem Sterling,/player/202652/raheem-sterling/
Suso,/player/202651/suso/
Deulofeu,/player/202477/deulofeu/
Eric Dier,/player/202335/eric-dier/
Marcos Rojo,/player/201862/marcos-rojo/
Lucas,/player/200949/lucas/
Heung Min Son,/player/200104/heung-min-son/
Francesco Acerbi,/player/199845/francesco-acerbi/
Granit Xhaka,/player/199503/granit-xhaka/
Cédric Bakambu,/player/198951/c%C3%A9dric-bakambu/
Jonathan Viera,/player/198164/jonathan-viera/
Pizzi,/player/197965/pizzi/
Willian José,/player/195093/willian-jos%C3%A9/
Andriy Yarmolenko,/player/194794/andriy-yarmolenko/
Oliver Baumann,/player/193698/oliver-baumann/
Gary Medel,/player/193532/gary-medel/
Víctor Ruíz,/player/193469/v%C3%ADctor-ru%C3%ADz/
Xherdan Shaqiri,/player/193348/xherdan-shaqiri/
Juan Cuadrado,/player/193082/juan-cuadrado/
Douglas Costa,/player/190483/douglas-costa/
Nathaniel Clyne,/player/190456/nathaniel-clyne/
Iborra,/player/189560/iborra/
Victor Wanyama,/player/188942/victor-wanyama/
Taison,/player/188803/taison/
Marlos,/player/187754/marlos/
Lars Stindl,/player/187072/lars-stindl/
Mario Balotelli,/player/186627/mario-balotelli/
Aaron Ramsey,/player/186561/aaron-ramsey/
Wojciech Szczęsny,/player/186153/wojciech-szcz%C4%99sny/
Yacine Brahimi,/player/184267/yacine-brahimi/
Marko Arnautović,/player/184200/marko-arnautovi%C4%87/
Jordan Henderson,/player/183711/jordan-henderson/
Max Kruse,/player/183574/max-kruse/
Orestis Karnezis,/player/183497/orestis-karnezis/
Ljubomir Fejsa,/player/183376/ljubomir-fejsa/
Fernando Muslera,/player/182494/fernando-muslera/
Vedran Ćorluka,/player/181786/vedran-%C4%87orluka/
Georginio Wijnaldum,/player/181291/georginio-wijnaldum/
Federico Fazio,/player/179847/federico-fazio/
Olivier Giroud,/player/178509/olivier-giroud/
Branislav Ivanović,/player/178372/branislav-ivanovi%C4%87/
Javier Hernández,/player/178224/javier-hern%C3%A1ndez/
Beñat,/player/177600/be%C3%B1at/
Lars Bender,/player/177457/lars-bender/
Axel Witsel,/player/177413/axel-witsel/
Kévin Gameiro,/player/176600/k%C3%A9vin-gameiro/
Claudio Bravo,/player/174543/claudio-bravo/
Asmir Begović,/player/172723/asmir-begovi%C4%87/
Naldo,/player/171919/naldo/
Daniel Sturridge,/player/171833/daniel-sturridge/
Danny Rose,/player/169595/danny-rose/
Emiliano Viviano,/player/168354/emiliano-viviano/
Gonzalo Castro,/player/167431/gonzalo-castro/
Samir Nasri,/player/165239/samir-nasri/
Andrea Consigli,/player/163489/andrea-consigli/
João Moutinho,/player/162347/jo%C3%A3o-moutinho/
Benoît Costil,/player/158121/beno%C3%AEt-costil/
Raúl Albiol,/player/157481/ra%C3%BAl-albiol/
Mario Gómez,/player/150418/mario-g%C3%B3mez/
Juanfran,/player/146760/juanfran/
Raffael,/player/144622/raffael/
Arda Turan,/player/143745/arda-turan/
Fernandinho,/player/135507/fernandinho/
David Villa,/player/113422/david-villa/
Stephan Lichtsteiner,/player/108080/stephan-lichtsteiner/
Rune Almenning Jarstein,/player/104389/rune-almenning-jarstein/
Marcus Rashford,/player/231677/marcus-rashford/
Gabriel Jesus,/player/230666/gabriel-jesus/
Nélson Semedo,/player/227928/n%C3%A9lson-semedo/
Gelson Martins,/player/227055/gelson-martins/
Sergej Milinković-Savić,/player/223848/sergej-milinkovi%C4%87-savi%C4%87/
Malcom,/player/222737/malcom/
Julian Weigl,/player/222028/julian-weigl/
Davinson Sánchez,/player/220793/davinson-s%C3%A1nchez/
Islam Slimani,/player/217699/islam-slimani/
Andrej Kramarić,/player/216354/andrej-kramari%C4%87/
Marcelo Brozović,/player/216352/marcelo-brozovi%C4%87/
Williams,/player/216201/williams/
Dani García,/player/216194/dani-garc%C3%ADa/
Andreas Christensen,/player/213661/andreas-christensen/
Alisson,/player/212831/alisson/
Alex Telles,/player/212462/alex-telles/
Bruma,/player/211368/bruma/
Domenico Berardi,/player/210935/domenico-berardi/
Adrien Rabiot,/player/210008/adrien-rabiot/
Jamie Vardy,/player/208830/jamie-vardy/
Hakim Ziyech,/player/208670/hakim-ziyech/
Michael Keane,/player/207599/michael-keane/
Jorginho,/player/205498/jorginho/
Héctor Bellerín,/player/203747/h%C3%A9ctor-beller%C3%ADn/
